		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 4095.984375	M = 2097152	N = 8	m = 9	n = 16777216
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 4057 4071 4022 4070 4057 4071 4022 4070  4.188321 0.839745 SUCCESS   0
000000011 4094 4152 4091 4121 4094 4152 4091 4121  1.915310 0.983499 SUCCESS   1
000000101 4128 4112 4072 4043 4128 4112 4072 4043  2.355603 0.968125 SUCCESS   2
000000111 4023 4139 4042 3997 4023 4139 4042 3997 10.045092 0.261875 SUCCESS   3
000001001 4102 4146 4236 4055 4102 4146 4236 4055 12.031235 0.149816 SUCCESS   4
000001011 4070 4195 4064 4199 4070 4195 4064 4199 11.168940 0.192309 SUCCESS   5
000001101 4128 4165 4127 4054 4128 4165 4127 4054  4.299401 0.829151 SUCCESS   6
000001111 4051 4152 4058 4026 4051 4152 4058 4026  5.809076 0.668608 SUCCESS   7
000010001 4028 4070 4101 4144 4028 4070 4101 4144  3.852384 0.870190 SUCCESS   8
000010011 4004 4098 4224 3983 4004 4098 4224 3983 18.999322 0.014863 SUCCESS   9
000010101 4171 4112 4054 4021 4171 4112 4054 4021  6.701610 0.569142 SUCCESS  10
000010111 4045 4063 4094 4145 4045 4063 4094 4145  3.077699 0.929387 SUCCESS  11
000011001 4125 4072 4049 4160 4125 4072 4049 4160  3.900348 0.866001 SUCCESS  12
000011011 4062 4086 4142 4106 4062 4086 4142 4106  1.753725 0.987654 SUCCESS  13
000011101 4097 4103 4155 4055 4097 4103 4155 4055  2.632734 0.955254 SUCCESS  14
000011111 4041 4118 4138 4087 4041 4118 4138 4087  2.704041 0.951537 SUCCESS  15
000100011 3991 3968 3983 4112 3991 3968 3983 4112 20.416004 0.008872 FAILURE  16
000100101 4138 4123 4074 4098 4138 4123 4074 4098  1.506329 0.992602 SUCCESS  17
000100111 3949 4065 4102 4106 3949 4065 4102 4106 11.465120 0.176711 SUCCESS  18
000101001 4168 4106 4178 4149 4168 4106 4178 4149  7.486759 0.485137 SUCCESS  19
000101011 4224 4135 4062 4103 4224 4135 4062 4103  9.653725 0.290176 SUCCESS  20
000101101 4090 4100 4101 4243 4090 4100 4101 4243 10.954893 0.204268 SUCCESS  21
000101111 4034 4037 4220 4124 4034 4037 4220 4124 11.861601 0.157487 SUCCESS  22
000110011 4107 4102 3991 4069 4107 4102 3991 4069  6.013842 0.645681 SUCCESS  23
000110101 4030 4084 4049 4110 4030 4084 4049 4110  3.485622 0.900303 SUCCESS  24
000110111 4075 4200 4134 4058 4075 4200 4134 4058  7.145250 0.521046 SUCCESS  25
000111001 4089 4114 4152 4106 4089 4114 4152 4106  1.823943 0.985942 SUCCESS  26
000111011 4166 4170 4049 4112 4166 4170 4049 4112  6.487137 0.592835 SUCCESS  27
000111101 4141 4050 4152 4076 4141 4050 4152 4076  3.877826 0.867975 SUCCESS  28
000111111 4124 4090 4056 4056 4124 4090 4056 4056  2.029388 0.980098 SUCCESS  29
001000011 4120 3992 4079 4225 4120 3992 4079 4225 14.304546 0.074165 SUCCESS  30
001000101 4166 4063 4175 4301 4166 4063 4175 4301 27.406582 0.000601 FAILURE  31
001000111 4023 4083 4026 4092 4023 4083 4026 4092  5.257071 0.729780 SUCCESS  32
001001011 4157 4126 4191 4085 4157 4126 4191 4085  6.955793 0.541410 SUCCESS  33
001001101 4259 4089 4136 4045 4259 4089 4136 4045 15.567441 0.049007 SUCCESS  34
001001111 4040 4094 3975 4181 4040 4094 3975 4181 12.627810 0.125313 SUCCESS  35
001010011 4197 4146 4071 4099 4197 4146 4071 4099  6.736885 0.565269 SUCCESS  36
001010101 4080 4008 4084 4147 4080 4008 4084 4147  5.425742 0.711253 SUCCESS  37
001010111 4242 4191 4037 4179 4242 4191 4037 4179 20.565294 0.008396 FAILURE  38
001011011 4064 4077 4148 4171 4064 4077 4148 4171  4.907261 0.767441 SUCCESS  39
001011101 4154 4102 4126 4107 4154 4102 4126 4107  2.234486 0.972966 SUCCESS  40
001011111 4089 4066 4157 4090 4089 4066 4157 4090  2.377052 0.967218 SUCCESS  41
001100101 4147 4122 4087 4159 4147 4122 4087 4159  3.702573 0.882912 SUCCESS  42
001100111 4097 4108 3977 4022 4097 4108 3977 4022  9.988069 0.265864 SUCCESS  43
001101011 4133 4096 4016 4054 4133 4096 4016 4054  4.813305 0.777331 SUCCESS  44
001101101 4213 4111 4076 4095 4213 4111 4076 4095  7.231550 0.511869 SUCCESS  45
001101111 3979 4095 4179 4061 3979 4095 4179 4061 11.011017 0.201076 SUCCESS  46
001110101 4008 4011 4039 4066 4008 4011 4039 4066  9.651453 0.290346 SUCCESS  47
001110111 4130 4179 4116 4167 4130 4179 4116 4167  6.814394 0.556784 SUCCESS  48
001111011 4160 4025 4157 3979 4160 4025 4157 3979 13.406582 0.098605 SUCCESS  49
001111101 4127 4002 4014 4175 4127 4002 4014 4175 11.494918 0.175202 SUCCESS  50
001111111 4056 4126 3969 4022 4056 4126 3969 4022 12.170913 0.143740 SUCCESS  51
010000011 4074 4163 4049 4132 4074 4163 4049 4132  4.282355 0.830792 SUCCESS  52
010000111 4083 4042 4148 4161 4083 4042 4148 4161  5.058365 0.751320 SUCCESS  53
010001011 4050 4056 4163 4203 4050 4056 4163 4203  9.927652 0.270141 SUCCESS  54
010001111 4108 4024 4024 4163 4108 4024 4024 4163  7.575237 0.476021 SUCCESS  55
010010011 4060 4143 4106 4167 4060 4143 4106 4167  4.368119 0.822478 SUCCESS  56
010010111 4247 4200 4058 4141 4247 4200 4058 4141 18.734439 0.016346 SUCCESS  57
010011011 4183 4187 4178 4018 4183 4187 4178 4018 14.476610 0.070158 SUCCESS  58
010011111 4102 4022 3985 4054 4102 4022 3985 4054  9.893987 0.272546 SUCCESS  59
010100011 4181 4093 4041 3966 4181 4093 4041 3966 13.715042 0.089502 SUCCESS  60
010100111 4208 4107 4019 4081 4208 4107 4019 4081  9.505035 0.301497 SUCCESS  61
010101011 4063 4011 4102 4134 4063 4011 4102 4134  4.945297 0.763407 SUCCESS  62
010101111 4138 4115 4017 4213 4138 4115 4017 4213 11.140452 0.193867 SUCCESS  63
010110011 3987 4207 4087 4019 3987 4207 4087 4019 15.257261 0.054332 SUCCESS  64
010110111 4046 4032 4128 4019 4046 4032 4128 4019  6.840420 0.553944 SUCCESS  65
010111011 4120 4187 4088 4064 4120 4187 4088 4064  5.023911 0.755017 SUCCESS  66
010111111 4154 4036 4139 4085 4154 4036 4139 4085  4.512595 0.808172 SUCCESS  67
011000111 4239 4135 4112 4089 4239 4135 4112 4089 11.253015 0.187771 SUCCESS  68
011001111 4210 4230 4010 4062 4210 4230 4010 4062 19.953536 0.010513 SUCCESS  69
011010111 4151 4131 4116 4057 4151 4131 4116 4057  3.117788 0.926750 SUCCESS  70
011011111 3990 4140 4142 4041 3990 4140 4142 4041  9.247870 0.321820 SUCCESS  71
011101111 4115 4142 4157 4098 4115 4142 4157 4098  3.134344 0.925646 SUCCESS  72
011111111 3989 4048 4120 3962 3989 4048 4120 3962 16.301374 0.038264 SUCCESS  73
100000000 4057 4071 4022 4070 4057 4071 4022 4070  4.188321 0.839745 SUCCESS  74
100010000 4019 4034 4056 4140 4019 4034 4056 4140  6.719587 0.567167 SUCCESS  75
100100000 4165 4026 4160 4087 4165 4026 4160 4087  6.989742 0.537740 SUCCESS  76
100101000 4072 4184 4086 4100 4072 4184 4086 4100  4.261522 0.832791 SUCCESS  77
100110000 4077 4217 4194 4006 4077 4217 4194 4006 16.519918 0.035515 SUCCESS  78
100111000 4084 4144 4145 4091 4084 4144 4145 4091  2.462879 0.963439 SUCCESS  79
101000000 4077 4153 4021 4165 4077 4153 4021 4165  7.069192 0.529186 SUCCESS  80
101000100 4043 4051 3944 4198 4043 4051 3944 4198 19.362311 0.013038 SUCCESS  81
101001000 4176 4015 4113 4009 4176 4015 4113 4009 10.513526 0.230815 SUCCESS  82
101001100 4225 4129 4081 4022 4225 4129 4081 4022 11.834991 0.158719 SUCCESS  83
101010000 4052 4072 4061 4146 4052 4072 4061 4146  3.149164 0.924651 SUCCESS  84
101010100 4130 4035 4056 4204 4130 4035 4056 4204  9.162769 0.328752 SUCCESS  85
101011000 4111 3969 4083 4134 4111 3969 4083 4134  9.072870 0.336186 SUCCESS  86
101011100 4226 4103 4111 4138 4226 4103 4111 4138  9.567709 0.296686 SUCCESS  87
101100000 4079 4117 4057 4009 4079 4117 4057 4009  4.957671 0.762091 SUCCESS  88
101100100 4086 4037 4086 4126 4086 4037 4086 4126  2.312863 0.969887 SUCCESS  89
101101000 4160 4097 3982 4232 4160 4097 3982 4232 17.975616 0.021410 SUCCESS  90
101101100 4189 4066 4094 4128 4189 4066 4094 4128  5.343387 0.720323 SUCCESS  91
101110000 4101 4107 4202 4023 4101 4107 4202 4023  8.440673 0.391649 SUCCESS  92
101110100 4047 4011 4129 4075 4047 4011 4129 4075  5.632418 0.688329 SUCCESS  93
101111000 4121 4054 4175 4100 4121 4054 4175 4100  4.367709 0.822518 SUCCESS  94
101111100 4055 4171 4076 4039 4055 4171 4076 4039  5.532150 0.699475 SUCCESS  95
110000000 4081 4137 4095 4057 4081 4137 4095 4057  1.731093 0.988175 SUCCESS  96
110000010 4129 4178 4136 4021 4129 4178 4136 4021  7.596213 0.473872 SUCCESS  97
110000100 4100 4035 4107 4052 4100 4035 4107 4052  2.924843 0.938985 SUCCESS  98
110001000 4093 4060 4021 4211 4093 4060 4021 4211 10.179309 0.252666 SUCCESS  99
110001010 4202 4135 4065 4153 4202 4135 4065 4153  8.571891 0.379686 SUCCESS 100
110010000 4224 4042 4101 4216 4224 4042 4101 4216 17.035970 0.029737 SUCCESS 101
110010010 3969 4095 4184 4010 3969 4095 4184 4010 15.790941 0.045472 SUCCESS 102
110010100 4154 4209 4073 4097 4154 4209 4073 4097  8.418009 0.393738 SUCCESS 103
110011000 4035 4266 4200 4055 4035 4266 4200 4055 22.789584 0.003645 FAILURE 104
110011010 4205 4162 4052 4092 4205 4162 4052 4092  9.188369 0.326656 SUCCESS 105
110100000 4117 4195 4066 4222 4117 4195 4066 4222 13.648864 0.091389 SUCCESS 106
110100010 4092 3962 3930 4249 4092 3962 3930 4249 34.814284 0.000029 FAILURE 107
110100100 4075 4095 4051 4010 4075 4095 4051 4010  4.978899 0.759829 SUCCESS 108
110101000 3929 4087 4086 4179 3929 4087 4086 4179 17.654435 0.023972 SUCCESS 109
110101010 4113 4038 4074 4191 4113 4038 4074 4191  6.647980 0.575044 SUCCESS 110
110101100 4125 4039 4035 3985 4125 4039 4035 3985 10.164521 0.253668 SUCCESS 111
110110000 4184 4046 4105 4073 4184 4046 4105 4073  5.482197 0.705012 SUCCESS 112
